id,ncrp_ack,fraud_type,victim_name,state,district,reported_at,network,token,reported_wallet,amount_lost_inr,amount_lost_token,status,priority,risk_score,risk_level,investigator,nearest_exchange,exchange_confidence,hops_to_exchange,traced_to_vasp_inr,held_in_wallets_inr,frozen_inr,wallets_traced,transactions_traced,patterns,syndicate,linked_cases
RAAZ-26-1017,22705072667076,Task-based Part-time Job Fraud,Rekha Pillai,Maharashtra,Thane,2026-07-05T18:54:00+05:30,BSC,BNB,0x5be7808eab304c48a3f5f3d6301720702799e5ca,222400,3.6163,Closed,P3,48,Medium,Insp. Priya Deshmukh,NovaX Exchange,0.84,5,203565,18831,126896,23,31,Fan-out distribution;Consolidation before cash-out;Cross-case linkage,Syndicate C,RAAZ-26-1022;RAAZ-26-1027;RAAZ-26-1035;RAAZ-26-1040;RAAZ-26-1060
RAAZ-26-1018,12723092660509,Loan App Extortion,Harpreet Pandey,Maharashtra,Nashik,2026-09-23T14:26:00+05:30,BTC,BTC,bc1qggpfqfclkvwyl8dk0nsr8eaq5maphz4pwpq0qd,139500,0.014762,Tracing,P2,70,High,Insp. Priya Deshmukh,,,,0,358215,0,31,34,Fan-out distribution;Peel chain;Rapid layering (high velocity);Fan-in from unrelated sources;Dusting activity;Funds dormant in layering wallets,,
RAAZ-26-1019,10922092698807,Task-based Part-time Job Fraud,Karthik Das,Uttar Pradesh,Varanasi,2026-09-22T00:58:00+05:30,BTC,BTC,bc1q5566n8tqlvxfrttvuwa84zrscg7wrparfme5ch,9824400,1.039619,Exchange Identified,P1,61,High,Insp. Rohit Verma,Kestrel Markets,0.87,3,17382585,1287286,0,28,35,Fan-out distribution;Peel chain,,
RAAZ-26-1020,32922092631278,Task-based Part-time Job Fraud,Nandini Banerjee,Karnataka,Bengaluru Urban,2026-09-22T15:35:00+05:30,TRON,USDT,TBBzYbZPCxDqvAmFZNnvDJKE5hu95VPrmd,478000,5407.24,New,P3,54,Medium,Insp. Gurpreet Sandhu,Kestrel Markets,0.77,6,450644,27360,0,16,26,Rapid layering (high velocity);Consolidation before cash-out;Dusting activity,,
RAAZ-26-1021,22917092686268,Task-based Part-time Job Fraud,Ritu Ansari,Karnataka,Dakshina Kannada,2026-09-17T16:28:00+05:30,BSC,USDT,0x29b35d781cf01f22c454eb0798b3a555c21145d5,429700,4860.86,Exchange Identified,P3,56,Medium,Insp. Rohit Verma,Orbitra Pro,0.89,4,1138014,31706,0,21,26,Fan-out distribution;Rapid layering (high velocity);Fan-in from unrelated sources;Dusting activity,,
RAAZ-26-1022,20913092648697,Fake Crypto Exchange / Wallet,Suresh Das,Uttar Pradesh,Gautam Buddh Nagar,2026-09-13T20:34:00+05:30,BSC,BNB,0x92679b5aca4188f873b7e0029226a6b40cb15669,204200,3.3203,Exchange Identified,P1,86,Critical,Ananya Sharma,Zentra Global,0.84,4,758965,68515,0,26,31,Fan-out distribution;Peel chain;Rapid layering (high velocity);Fan-in from unrelated sources;Consolidation before cash-out;Cross-case linkage,Syndicate C,RAAZ-26-1017;RAAZ-26-1027;RAAZ-26-1035;RAAZ-26-1040;RAAZ-26-1060
RAAZ-26-1023,20906092677896,Task-based Part-time Job Fraud,Priyanka Ansari,Uttar Pradesh,Ghaziabad,2026-09-06T16:03:00+05:30,TRON,USDT,T8Esv5GgMDU191GctSM4JJubr4RzWQ2Lpj,154800,1751.13,Notice Sent,P2,63,High,Meera Nair,Lotus Chain Exchange,0.81,5,454103,10485,0,16,20,Fan-in from unrelated sources;Consolidation before cash-out;Cross-case linkage,Syndicate B,RAAZ-26-1003;RAAZ-26-1005;RAAZ-26-1011;RAAZ-26-1039;RAAZ-26-1050;RAAZ-26-1054;RAAZ-26-1055
RAAZ-26-1024,30316092696540,Pig-butchering (Romance-Investment),Ramesh Singh,Punjab,Ludhiana,2026-09-16T13:28:00+05:30,TRON,USDT,TeHsfyBGerRCcTbeujaV9oTVkHYnqW6MwL,469600,5312.22,Notice Sent,P2,61,High,Insp. Gurpreet Sandhu,Kestrel Markets,0.83,4,1063251,41983,0,17,21,Fan-out distribution;Rapid layering (high velocity);Fan-in from unrelated sources,,
RAAZ-26-1025,11022092633508,Task-based Part-time Job Fraud,Pranav Shetty,Bihar,Patna,2026-09-22T01:35:00+05:30,BSC,BNB,0x452e1c4112fdf16e84809930e71b128338a1f061,5179700,84.2228,Exchange Identified,P1,61,High,Meera Nair,NovaX Exchange,0.84,4,9192737,1127066,0,25,33,Fan-out distribution;Rapid layering (high velocity);Fan-in from unrelated sources;Consolidation before cash-out,,
RAAZ-26-1026,10821092613443,Task-based Part-time Job Fraud,Vivaan Singh,Rajasthan,Jodhpur,2026-09-21T05:43:00+05:30,BSC,USDT,0x3c2347ab862823bb3c509ac82ee7f6756986feea,1459900,16514.71,Exchange Identified,P2,37,Low,SI Arjun Rathore,Tarang Digital Assets,0.84,5,2397714,185516,0,17,23,Fan-out distribution;Consolidation before cash-out,,
RAAZ-26-1027,21019082666870,Ponzi / MLM Token Scheme,Ritu Joshi,Bihar,Patna,2026-08-19T14:48:00+05:30,BSC,USDT,0xf4a556fe8ad5b7c378b8b8b8dc7a0ddcd0cf07a3,167800,1898.19,KYC Received,P1,87,Critical,Ananya Sharma,NovaX Exchange,0.77,4,623069,110625,90099,43,51,Fan-out distribution;Peel chain;Mixer / tumbler usage;Fan-in from unrelated sources;Consolidation before cash-out;Cross-case linkage,Syndicate C,RAAZ-26-1017;RAAZ-26-1022;RAAZ-26-1035;RAAZ-26-1040;RAAZ-26-1060
RAAZ-26-1028,33619082654841,Task-based Part-time Job Fraud,Nikhil Patel,Telangana,Hyderabad,2026-08-19T18:06:00+05:30,TRON,USDT,TeXY9z3tm5qWJMx7vfLp16dPZZK1eXX6vz,6204600,70187.78,KYC Received,P1,43,Medium,SI Farhan Qureshi,Orbitra Pro,0.92,3,15759939,481820,1625061,19,29,Fan-out distribution;Fan-in from unrelated sources;Dusting activity,,
RAAZ-26-1029,13609092611613,Ponzi / MLM Token Scheme,Shreya Thomas,Telangana,Hyderabad,2026-09-09T06:07:00+05:30,TRON,USDT,T7gMqk5qdM6FMUF86paWPeVBRur7v6E3HJ,76600,866.52,Monitoring,P3,53,Medium,SI Farhan Qureshi,,,,0,168209,0,22,22,Fan-out distribution;Cross-chain bridge hop;Fan-in from unrelated sources;Funds dormant in layering wallets,,
RAAZ-26-1030,12712092614560,Investment / Trading App Fraud,Sandeep Pandey,Maharashtra,Mumbai,2026-09-12T06:51:00+05:30,POLYGON,USDT,0x0caef3bb5f535e4ec67435add2a50df964934904,1200700,13582.58,Notice Sent,P2,61,High,Insp. Priya Deshmukh,Halcyon Swap,0.82,4,2868453,245689,0,11,10,Rapid layering (high velocity);Fan-in from unrelated sources;Consolidation before cash-out,,
RAAZ-26-1031,20903092686606,Digital Arrest Scam,Aisha Saxena,Uttar Pradesh,Lucknow,2026-09-03T08:50:00+05:30,BTC,BTC,bc1ql5lt226na59sja572hkactydhhujs89hlhpuar,60000,0.006349,Monitoring,P1,81,Critical,Insp. Rohit Verma,,,,0,75535,0,27,27,Fan-out distribution;Peel chain;Mixer / tumbler usage;Rapid layering (high velocity);Funds dormant in layering wallets,,
RAAZ-26-1032,13315062638618,Fake Crypto Exchange / Wallet,Aditya Kulkarni,Tamil Nadu,Madurai,2026-06-15T16:44:00+05:30,TRON,USDT,TgF1jhLdc4QXKPHJReckh94wm8ocQ5wN3L,999700,11308.82,KYC Received,P2,41,Medium,DSP Kavitha Raman,Tarang Digital Assets,0.85,4,983709,15989,593038,14,18,Fan-out distribution,,
RAAZ-26-1033,20321092681892,Digital Arrest Scam,Diya Kulkarni,Punjab,Ludhiana,2026-09-21T15:51:00+05:30,ETH,USDT,0x24c492df86ee4c196643ff662349bd4bfdc7ebbd,128200,1450.23,Exchange Identified,P3,46,Medium,Insp. Gurpreet Sandhu,Pinecrest P2P,0.87,4,441101,65908,0,16,16,Fan-in from unrelated sources;Consolidation before cash-out,,
RAAZ-26-1034,33330082656066,Investment / Trading App Fraud,Manoj Shetty,Tamil Nadu,Chennai,2026-08-30T20:18:00+05:30,TRON,USDT,TzRMJBjTkpb4ueMbJq7rb4b5uLpdFL3doU,391600,4429.86,KYC Received,P2,60,High,DSP Kavitha Raman,Lotus Chain Exchange,0.89,3,1711035,1796,10059,19,22,Fan-out distribution;Fan-in from unrelated sources,,
RAAZ-26-1035,33319092644394,Task-based Part-time Job Fraud,Sandeep Menon,Tamil Nadu,Chennai,2026-09-19T05:41:00+05:30,BSC,BNB,0xc7956196acb7f18d95497a06138b83f5c4e0e7ad,11510000,187.1545,Tracing,P1,91,Critical,DSP Kavitha Raman,Zentra Global,0.69,5,21117169,487552,0,16,21,Mixer / tumbler usage;Rapid layering (high velocity);Fan-in from unrelated sources;Consolidation before cash-out;Cross-case linkage,Syndicate C,RAAZ-26-1017;RAAZ-26-1022;RAAZ-26-1027;RAAZ-26-1040;RAAZ-26-1060
RAAZ-26-1036,30922092652531,Task-based Part-time Job Fraud,Anil Chatterjee,Uttar Pradesh,Varanasi,2026-09-22T06:59:00+05:30,TRON,USDT,Ti4VE9Fx1JzfQrNdUWQU5U5X7F4MyUi42C,1912800,21638.01,Exchange Identified,P2,54,Medium,Insp. Rohit Verma,Pinecrest P2P,0.8,5,1838293,74511,0,9,15,Rapid layering (high velocity);Consolidation before cash-out;Dusting activity,,
RAAZ-26-1037,21912082643572,Digital Arrest Scam,Sneha Mehta,West Bengal,Kolkata,2026-08-12T16:04:00+05:30,TRON,USDT,T6YLtrRo5sPRxin8sUbzgfVrqjGvXgAfur,5221600,59067.87,KYC Received,P1,70,High,Ananya Sharma,Quasar Exchange,0.86,4,9737116,1170649,1360043,14,16,Fan-out distribution;Rapid layering (high velocity);Consolidation before cash-out;Cross-case linkage,Syndicate A,RAAZ-26-1007;RAAZ-26-1009;RAAZ-26-1048;RAAZ-26-1059
RAAZ-26-1038,23621082627743,Investment / Trading App Fraud,Aarav Thomas,Telangana,Rangareddy,2026-08-21T01:46:00+05:30,TRON,USDT,T5DTbLhX7viBZeYAHJ9L3EFfMUr6K65jjk,53500,605.2,KYC Received,P3,57,Medium,SI Farhan Qureshi,Zentra Global,0.83,4,106158,13901,1230,14,16,Rapid layering (high velocity);Fan-in from unrelated sources;Consolidation before cash-out,,
RAAZ-26-1039,12725072658902,Loan App Extortion,Nikhil Patel,Maharashtra,Pune,2026-07-25T21:03:00+05:30,TRON,USDT,TAiiRhFnQ1MXkU3zyEGteyDMxfCWK4uEZu,2967200,33565.61,KYC Received,P1,68,High,Insp. Priya Deshmukh,Lotus Chain Exchange,0.82,4,6144246,753050,395242,28,33,Fan-out distribution;Fan-in from unrelated sources;Consolidation before cash-out;Cross-case linkage,Syndicate B,RAAZ-26-1003;RAAZ-26-1005;RAAZ-26-1011;RAAZ-26-1023;RAAZ-26-1050;RAAZ-26-1054;RAAZ-26-1055
RAAZ-26-1040,20829082649876,Ponzi / MLM Token Scheme,Anil Bhat,Rajasthan,Udaipur,2026-08-29T21:46:00+05:30,BSC,USDT,0x41a48d1ec19bde3454291ab0c8b13641fa48d9fe,94600,1070.14,KYC Received,P2,64,High,SI Arjun Rathore,Zentra Global,0.85,5,91525,3073,12346,12,13,Rapid layering (high velocity);Consolidation before cash-out;Cross-case linkage,Syndicate C,RAAZ-26-1017;RAAZ-26-1022;RAAZ-26-1027;RAAZ-26-1035;RAAZ-26-1060
RAAZ-26-1041,33625082635568,Task-based Part-time Job Fraud,Anil Pandey,Telangana,Hyderabad,2026-08-25T02:23:00+05:30,TRON,USDT,TMkFtfgVQACciACyKgrub93s4o6G1JzxTV,497700,5630.09,Monitoring,P3,45,Medium,SI Farhan Qureshi,,,,0,1462918,0,19,20,Fan-out distribution;Fan-in from unrelated sources;Funds dormant in layering wallets,,
RAAZ-26-1042,13623082679140,Investment / Trading App Fraud,Rekha Ansari,Telangana,Rangareddy,2026-08-23T04:43:00+05:30,ETH,USDT,0x373473f89fbb423fa5cc3c1d9d5c39ca5cb1f863,372500,4213.8,KYC Received,P3,44,Medium,SI Farhan Qureshi,Suryodaya Crypto,0.89,3,367479,4844,78940,19,21,Fan-out distribution;Cross-chain bridge hop,,
RAAZ-26-1043,10308092667832,Investment / Trading App Fraud,Deepak Sharma,Punjab,SAS Nagar (Mohali),2026-09-08T22:52:00+05:30,TRON,USDT,TtoA5FepmKVEik5d4HdhuJCZUKkrkVBBwV,3242600,36681.0,Exchange Identified,P1,58,Medium,Insp. Gurpreet Sandhu,Suryodaya Crypto,0.87,4,6466436,1033127,0,27,33,Fan-out distribution;Peel chain;Fan-in from unrelated sources;Dusting activity,,
RAAZ-26-1044,22719092634845,Task-based Part-time Job Fraud,Lakshmi Reddy,Maharashtra,Nagpur,2026-09-19T16:21:00+05:30,TRON,USDT,TAgvgqYQze9swebfT3F23BF39cLM63kTmS,133500,1510.18,Exchange Identified,P2,79,High,Insp. Priya Deshmukh,Halcyon Swap,0.85,5,313196,41972,0,31,37,Fan-out distribution;Peel chain;Rapid layering (high velocity);Fan-in from unrelated sources;Consolidation before cash-out,,
RAAZ-26-1045,30314092649346,Task-based Part-time Job Fraud,Swati Sharma,Punjab,Ludhiana,2026-09-14T00:59:00+05:30,POLYGON,USDT,0xe3b4abfbeda5737748964df3cf0c36b1b1d9c474,5640600,63807.69,Notice Sent,P1,61,High,Insp. Gurpreet Sandhu,Zentra Global,0.77,6,13812975,4565661,0,28,32,Peel chain;Cross-chain bridge hop;Fan-in from unrelated sources;Consolidation before cash-out,,
RAAZ-26-1046,12718092676668,Task-based Part-time Job Fraud,Sneha Das,Maharashtra,Thane,2026-09-18T06:24:00+05:30,BTC,BTC,bc1q4wfqdsk39puy4cp3wm490cjnueemz77d0g5a67,79200,0.008381,Exchange Identified,P2,60,High,Meera Nair,NovaX Exchange,0.84,5,140493,30105,0,35,42,Fan-out distribution;Peel chain;Fan-in from unrelated sources;Consolidation before cash-out,,
RAAZ-26-1047,23306092671120,Investment / Trading App Fraud,Swati Patel,Tamil Nadu,Chennai,2026-09-06T15:26:00+05:30,ETH,ETH,0x54000f712c346eecb3027209b0fa76ec2a819ee8,961600,2.8117,Notice Sent,P2,62,High,SI Farhan Qureshi,Tarang Digital Assets,0.71,4,1360900,221501,0,33,41,Fan-out distribution;Peel chain;Mixer / tumbler usage;Consolidation before cash-out,,
RAAZ-26-1048,13308072682382,Investment / Trading App Fraud,Swati Singh,Tamil Nadu,Madurai,2026-07-08T03:06:00+05:30,TRON,USDT,TGsRGyN1csQ19FGdv7nxvfZu53ziucywXD,67200,760.18,KYC Received,P1,92,Critical,Ananya Sharma,Quasar Exchange,0.89,4,186090,22532,28074,29,34,Fan-out distribution;Peel chain;Rapid layering (high velocity);Fan-in from unrelated sources;Consolidation before cash-out;Cross-case linkage,Syndicate A,RAAZ-26-1007;RAAZ-26-1009;RAAZ-26-1037;RAAZ-26-1059
RAAZ-26-1049,32709092665724,Task-based Part-time Job Fraud,Meenakshi Verma,Maharashtra,Mumbai,2026-09-09T03:54:00+05:30,ETH,USDC,0x8597567d00d23b78fbf0a25234df03060e145624,9867000,111680.81,Notice Sent,P1,88,Critical,Insp. Priya Deshmukh,Pinecrest P2P,0.74,4,28465599,2650315,0,37,49,Fan-out distribution;Mixer / tumbler usage;Cross-chain bridge hop;Rapid layering (high velocity);Fan-in from unrelated sources;Consolidation before cash-out;Dusting activity,,
RAAZ-26-1050,33315082645072,Task-based Part-time Job Fraud,Aarav Mehta,Tamil Nadu,Chennai,2026-08-15T18:03:00+05:30,TRON,USDT,ThkFfShMkicBQ5szHcjh3FaTT6Kc9ijugJ,61700,697.96,KYC Received,P2,79,High,DSP Kavitha Raman,Zentra Global,0.85,4,217421,37328,4873,26,32,Fan-out distribution;Peel chain;Fan-in from unrelated sources;Consolidation before cash-out;Cross-case linkage,Syndicate B,RAAZ-26-1003;RAAZ-26-1005;RAAZ-26-1011;RAAZ-26-1023;RAAZ-26-1039;RAAZ-26-1054;RAAZ-26-1055
RAAZ-26-1051,30307082676151,Task-based Part-time Job Fraud,Pranav Mishra,Punjab,SAS Nagar (Mohali),2026-08-07T18:27:00+05:30,POLYGON,USDT,0x7634d5303d8dcb0f60359215c1748f8dfe88d747,89100,1007.92,Closed,P3,44,Medium,Insp. Gurpreet Sandhu,Halcyon Swap,0.82,5,81613,7487,11392,15,21,Fan-out distribution;Consolidation before cash-out,,
RAAZ-26-1052,23620092680428,Task-based Part-time Job Fraud,Harpreet Yadav,Telangana,Rangareddy,2026-09-20T17:29:00+05:30,POLYGON,POL,0xb3b9454cdb2740445389df892df254b5a0ecc021,15857900,373127.06,Exchange Identified,P1,63,High,SI Farhan Qureshi,Halcyon Swap,0.92,3,56748588,502315,0,27,32,Fan-out distribution;Fan-in from unrelated sources,,
RAAZ-26-1053,20924082664007,Investment / Trading App Fraud,Aditya Sharma,Uttar Pradesh,Ghaziabad,2026-08-24T07:36:00+05:30,TRON,USDT,TGaB4fLFtsgcowtApJyhVTagLaBPUKLohJ,9020500,102041.86,KYC Received,P1,70,High,Insp. Rohit Verma,Halcyon Swap,0.85,4,25044654,1293862,605928,24,28,Fan-out distribution;Rapid layering (high velocity);Fan-in from unrelated sources;Consolidation before cash-out,,
RAAZ-26-1054,33323092646784,Task-based Part-time Job Fraud,Sandeep Saxena,Tamil Nadu,Madurai,2026-09-23T02:37:00+05:30,TRON,USDT,TqDi6hv7LX7Sqhsn4kvtg4gF4buzHyu9Sk,106600,1205.88,Tracing,P2,73,High,DSP Kavitha Raman,Zentra Global,0.89,4,271752,10057,0,16,22,Fan-out distribution;Fan-in from unrelated sources;Consolidation before cash-out;Cross-case linkage,Syndicate B,RAAZ-26-1003;RAAZ-26-1005;RAAZ-26-1011;RAAZ-26-1023;RAAZ-26-1039;RAAZ-26-1050;RAAZ-26-1055
RAAZ-26-1055,30923092679668,Loan App Extortion,Sandeep Pandey,Uttar Pradesh,Gautam Buddh Nagar,2026-09-23T21:05:00+05:30,TRON,USDT,TuP1uQtAXNyv3XEjEVqeTpZMMTb3pxpi1T,1732400,19597.29,Tracing,P2,70,High,Insp. Rohit Verma,Lotus Chain Exchange,0.88,4,2078843,19797,0,20,24,Fan-out distribution;Rapid layering (high velocity);Consolidation before cash-out;Cross-case linkage,Syndicate B,RAAZ-26-1003;RAAZ-26-1005;RAAZ-26-1011;RAAZ-26-1023;RAAZ-26-1039;RAAZ-26-1050;RAAZ-26-1054
RAAZ-26-1056,13616082670269,Pig-butchering (Romance-Investment),Gurleen Verma,Telangana,Warangal,2026-08-16T04:00:00+05:30,POLYGON,POL,0xcf9436c9c654995b72405c860df44ad6cb4cb1ce,320300,7536.47,KYC Received,P2,60,High,SI Farhan Qureshi,Orbitra Pro,0.8,5,469133,34799,56921,19,23,Fan-out distribution;Rapid layering (high velocity);Fan-in from unrelated sources;Consolidation before cash-out,,
RAAZ-26-1057,20308092628106,Task-based Part-time Job Fraud,Aisha Gupta,Punjab,SAS Nagar (Mohali),2026-09-08T08:51:00+05:30,BTC,BTC,bc1q8txwvmyk8spqdum7fltgevfkwe2nzn27m46dwy,150500,0.015926,Exchange Identified,P2,62,High,Insp. Gurpreet Sandhu,Meridian OTC Desk,0.88,3,587866,6085,0,28,37,Fan-out distribution;Peel chain;Fan-in from unrelated sources,,
